[00:00:00] 10个不同的主题
[00:00:02] 2分钟
[00:00:02] AI全部帮你完成研究
[00:00:04] 自动写进农审
[00:00:06] 一份整合了纯妙
[00:00:07] 重点事项
[00:00:08] 新闻动态的互动式简报
[00:00:10] 每天早上
[00:00:11] 自动就出现在我的桌面上
[00:00:13] 一个反复学校理解
[00:00:15] 才看得懂的复杂概念
[00:00:17] 半分钟就可以变成一张
[00:00:18] 可以互动的图表
[00:00:20] 这不是什么未打的科技
[00:00:22] 这是我最近每天的日常
[00:00:23] 你现在在用AI的方式
[00:00:25] 大概还停留在
[00:00:26] 开一个对话框
[00:00:27] 然后你问他问题
[00:00:28] 然后等他来回你
[00:00:30] 但是你又没有想过
[00:00:31] 为什么你用了AI之后
[00:00:33] 好像也没有变轻松多少
[00:00:35] 因为你还是自己在做事情
[00:00:37] 你只是多了一个
[00:00:38] 会回答问题的
[00:00:39] 搜索眼前而已
[00:00:40] 直到我遇到最近
[00:00:42] 一直在使用的这个AI
[00:00:43] Cloud Codework
[00:00:44] 它不只是回答你的问题
[00:00:46] 它是直接动手
[00:00:47] 帮你把事情做完
[00:00:48] 它会自己打开你的榴弹器
[00:00:50] 自己登录你的工具
[00:00:52] 自己操作
[00:00:53] 然后自己整理
[00:00:54] 就好像你旁边突然做了一个
[00:00:56] 不需要睡觉的同事
[00:00:57] 而且这个同事
[00:00:58] 一个人就可以同时做10个人的事情
[00:01:00] 我知道你听到这里
[00:01:02] 可能觉得有点夸张
[00:01:03] 没有关系
[00:01:04] 今天这支影片
[00:01:05] 我不是劝你相信这件事情
[00:01:07] 我是直接做给你看
[00:01:08] 我从零开始教你怎么设定
[00:01:10] 然后怎么使用这个工具
[00:01:12] 怎么把Cloud Codework
[00:01:13] 连接器
[00:01:14] 还有Scales功能
[00:01:15] 全部都串联到一起
[00:01:16] 建议一套完全自动化的工作流程
[00:01:19] 让你从今天开始
[00:01:20] 就把那些浪费掉的时间
[00:01:21] 全都给抢回来
[00:01:23] 不管你是做自媒体
[00:01:24] 做电商
[00:01:25] 还是上班族
[00:01:26] 这支影片
[00:01:27] 里边的方法
[00:01:27] 你全部都用得上
[00:01:29] 设定好之后
[00:01:30] 你真的会怀疑
[00:01:30] 之前的日子是怎么过的
[00:01:32] 那如果你喜欢这个影片的主题
[00:01:34] 你可以在右下方点赞
[00:01:36] 收藏这部影片
[00:01:37] 那你在收藏列表里
[00:01:38] 就可以随时看到实时搜
[00:01:40] 那么废话不多说
[00:01:41] 我们马上进入主题
[00:01:43] 目前呢
[00:01:44] Cloud Codework这个功能
[00:01:45] 只有付费版用户可以用
[00:01:46] 一个月是20美金
[00:01:48] 我自己用下来的感觉
[00:01:49] 就是它帮我省下来的时间
[00:01:51] 是值回票价的
[00:01:53] 那装好之后
[00:01:54] 打开Cloud的桌面板
[00:01:55] 你会看到上面有三个分页
[00:01:57] 一个是Cate
[00:01:58] 然后一个是Colork
[00:01:59] 还有一个是Code
[00:02:00] 那么我们直接切换到Colork
[00:02:02] 那在这边呢
[00:02:03] 跟一般聊天不一样
[00:02:05] 它会要求你选一个
[00:02:06] 你电脑上面的一个资料夹
[00:02:08] 等一下
[00:02:09] 就只能在这个资料夹里边工作
[00:02:11] 所以我建议大家第一件事情
[00:02:13] 就是在桌面
[00:02:14] 建一个专门给Colork用的资料夹
[00:02:17] 以后每次要用到Colork
[00:02:18] 就要把你处理的档案给它丢进去
[00:02:21] Cloud的操作范围
[00:02:22] 就只会在这个资料夹地边工作了
[00:02:25] 建好的之后呢
[00:02:26] 接下来就是你要让Cloud先认识你
[00:02:29] 如果他不知道你做的什么领域
[00:02:31] 也不知道你想了解什么
[00:02:33] 没有这些背景资料的话
[00:02:34] 他就只能给你那种很模板化的答案
[00:02:37] 所以我自己有做一个文档
[00:02:39] 里边就是写你是做什么的
[00:02:41] 然后你帮谁解决什么问题
[00:02:43] 然后你的上译模式大概长什么样子
[00:02:46] 然后还有你自己的故事
[00:02:47] 就是你的经历
[00:02:48] 那你不用担心说
[00:02:50] 我不知道怎么写
[00:02:51] 你根本不需要自己写
[00:02:52] 你只要进到这个Colork里边
[00:02:55] 在你刚才建好的那个资料夹里边
[00:02:57] 建一个新答案
[00:02:58] 就叫做背景设定
[00:03:00] 然后你就跟他说
[00:03:01] 我要写个人背景
[00:03:02] 你来问我问题吧
[00:03:04] 那么他就会开始问你
[00:03:05] 问你是做什么的
[00:03:07] 然后你的受众是谁
[00:03:08] 就是他问什么问题
[00:03:09] 你只要回答就可以了
[00:03:11] 那最后呢
[00:03:12] 他就帮你整理一份
[00:03:13] 非常完整的答案了
[00:03:15] 那提日死的部分呢
[00:03:16] 我也放到下边的说明欄了
[00:03:18] 你们直接拿去用就好
[00:03:20] 那很多人可能会说
[00:03:21] 我直接把这些背景资料
[00:03:23] 存到Cloud设定里边不就好了吗
[00:03:25] 那每次他都自动带着多方便
[00:03:28] 但是你这样做的话
[00:03:30] 你每发一条信息
[00:03:31] Cloud都要带着这一大包背景资料
[00:03:34] 一起泡
[00:03:34] Token会烧的非常非常快
[00:03:36] 我们要做的是一个需要的时候
[00:03:38] 才去读的一个机制
[00:03:40] 就是只有你在被问到
[00:03:41] 跟你的视野
[00:03:42] 跟你的频道
[00:03:43] 你的业务相关的问题
[00:03:45] 他才会去那个资料夹
[00:03:46] 把背景资料翻出来看
[00:03:48] 设定方式也很简单
[00:03:50] 就是进到Cloud这个指令里边
[00:03:52] 然后加一段话上去
[00:03:54] 如果我问任何跟YouTube频道
[00:03:56] 然后内容策略变现相关的问题
[00:03:58] 先去这个资料夹
[00:04:00] 读取背景资料
[00:04:01] 加上这一句话就行
