[00:00:00] 10個不同的主題
[00:00:02] 2分鐘
[00:00:02] AI全部幫你完成研究
[00:00:04] 自動寫進農審
[00:00:06] 一份整合了純妙
[00:00:07] 重點事項
[00:00:08] 新聞動態的互動式簡報
[00:00:10] 每天早上
[00:00:11] 自動就出現在我的桌面上
[00:00:13] 一個反覆學校理解
[00:00:15] 才看得懂的複雜概念
[00:00:17] 半分鐘就可以變成一張
[00:00:18] 可以互動的圖表
[00:00:20] 這不是什麼未打的科技
[00:00:22] 這是我最近每天的日常
[00:00:23] 你現在在用AI的方式
[00:00:25] 大概還停留在
[00:00:26] 開一個對話方塊
[00:00:27] 然後你問他問題
[00:00:28] 然後等他來回你
[00:00:30] 但是你又沒有想過
[00:00:31] 為什麼你用了AI之後
[00:00:33] 好像也沒有變輕鬆多少
[00:00:35] 因為你還是自己在做事情
[00:00:37] 你只是多了一個
[00:00:38] 會回答問題的
[00:00:39] 搜尋眼前而已
[00:00:40] 直到我遇到最近
[00:00:42] 一直在使用的這個AI
[00:00:43] Cloud Codework
[00:00:44] 它不只是回答你的問題
[00:00:46] 它是直接動手
[00:00:47] 幫你把事情做完
[00:00:48] 它會自己開啟你的榴彈器
[00:00:50] 自己登入你的工具
[00:00:52] 自己操作
[00:00:53] 然後自己整理
[00:00:54] 就好像你旁邊突然做了一個
[00:00:56] 不需要睡覺的同事
[00:00:57] 而且這個同事
[00:00:58] 一個人就可以同時做10個人的事情
[00:01:00] 我知道你聽到這裡
[00:01:02] 可能覺得有點誇張
[00:01:03] 沒有關係
[00:01:04] 今天這支影片
[00:01:05] 我不是勸你相信這件事情
[00:01:07] 我是直接做給你看
[00:01:08] 我從零開始教你怎麼設定
[00:01:10] 然後怎麼使用這個工具
[00:01:12] 怎麼把Cloud Codework
[00:01:13] 聯結器
[00:01:14] 還有Scales功能
[00:01:15] 全部都串聯到一起
[00:01:16] 建議一套完全自動化的工作流程
[00:01:19] 讓你從今天開始
[00:01:20] 就把那些浪費掉的時間
[00:01:21] 全都給搶回來
[00:01:23] 不管你是做自媒體
[00:01:24] 做電商
[00:01:25] 還是上班族
[00:01:26] 這支影片
[00:01:27] 裡邊的方法
[00:01:27] 你全部都用得上
[00:01:29] 設定好之後
[00:01:30] 你真的會懷疑
[00:01:30] 之前的日子是怎麼過的
[00:01:32] 那如果你喜歡這個影片的主題
[00:01:34] 你可以在右下方點贊
[00:01:36] 收藏這部影片
[00:01:37] 那你在收藏列表裡
[00:01:38] 就可以隨時看到實時搜
[00:01:40] 那麼廢話不多說
[00:01:41] 我們馬上進入主題
[00:01:43] 目前呢
[00:01:44] Cloud Codework這個功能
[00:01:45] 只有付費版使用者可以用
[00:01:46] 一個月是20美金
[00:01:48] 我自己用下來的感覺
[00:01:49] 就是它幫我省下來的時間
[00:01:51] 是值回票價的
[00:01:53] 那裝好之後
[00:01:54] 開啟Cloud的桌面板
[00:01:55] 你會看到上面有三個分頁
[00:01:57] 一個是Cate
[00:01:58] 然後一個是Colork
[00:01:59] 還有一個是Code
[00:02:00] 那麼我們直接切換到Colork
[00:02:02] 那在這邊呢
[00:02:03] 跟一般聊天不一樣
[00:02:05] 它會要求你選一個
[00:02:06] 你電腦上面的一個資料夾
[00:02:08] 等一下
[00:02:09] 就只能在這個資料夾裡邊工作
[00:02:11] 所以我建議大家第一件事情
[00:02:13] 就是在桌面
[00:02:14] 建一個專門給Colork用的資料夾
[00:02:17] 以後每次要用到Colork
[00:02:18] 就要把你處理的檔案給它丟進去
[00:02:21] Cloud的操作範圍
[00:02:22] 就只會在這個資料夾地邊工作了
[00:02:25] 建好的之後呢
[00:02:26] 接下來就是你要讓Cloud先認識你
[00:02:29] 如果他不知道你做的什麼領域
[00:02:31] 也不知道你想了解什麼
[00:02:33] 沒有這些背景資料的話
[00:02:34] 他就只能給你那種很模板化的答案
[00:02:37] 所以我自己有做一個文件
[00:02:39] 裡邊就是寫你是做什麼的
[00:02:41] 然後你幫誰解決什麼問題
[00:02:43] 然後你的上譯模式大概長什麼樣子
[00:02:46] 然後還有你自己的故事
[00:02:47] 就是你的經歷
[00:02:48] 那你不用擔心說
[00:02:50] 我不知道怎麼寫
[00:02:51] 你根本不需要自己寫
[00:02:52] 你只要進到這個Colork裡邊
[00:02:55] 在你剛才建好的那個資料夾裡邊
[00:02:57] 建一個新答案
[00:02:58] 就叫做背景設定
[00:03:00] 然後你就跟他說
[00:03:01] 我要寫個人背景
[00:03:02] 你來問我問題吧
[00:03:04] 那麼他就會開始問你
[00:03:05] 問你是做什麼的
[00:03:07] 然後你的受眾是誰
[00:03:08] 就是他問什麼問題
[00:03:09] 你只要回答就可以了
[00:03:11] 那最後呢
[00:03:12] 他就幫你整理一份
[00:03:13] 非常完整的答案了
[00:03:15] 那提日死的部分呢
[00:03:16] 我也放到下邊的說明欄了
[00:03:18] 你們直接拿去用就好
[00:03:20] 那很多人可能會說
[00:03:21] 我直接把這些背景資料
[00:03:23] 存到Cloud設定裡邊不就好了嗎
[00:03:25] 那每次他都自動帶著多方便
[00:03:28] 但是你這樣做的話
[00:03:30] 你每發一條資訊
[00:03:31] Cloud都要帶著這一大包背景資料
[00:03:34] 一起泡
[00:03:34] Token會燒的非常非常快
[00:03:36] 我們要做的是一個需要的時候
[00:03:38] 才去讀的一個機制
[00:03:40] 就是隻有你在被問到
[00:03:41] 跟你的視野
[00:03:42] 跟你的頻道
[00:03:43] 你的業務相關的問題
[00:03:45] 他才會去那個資料夾
[00:03:46] 把背景資料翻出來看
[00:03:48] 設定方式也很簡單
[00:03:50] 就是進到Cloud這個指令裡邊
[00:03:52] 然後加一段話上去
[00:03:54] 如果我問任何跟YouTube頻道
[00:03:56] 然後內容策略變現相關的問題
[00:03:58] 先去這個資料夾
[00:04:00] 讀取背景資料
[00:04:01] 加上這一句話就行
[00:04:02] 然後你就把你的資料夾名稱
[00:04:05] 貼上去就OK了
[00:04:06] 那這樣設定完之後
[00:04:08] 一旦你問到相關的問題
[00:04:09] 他就會自動去讀取你的背景
[00:04:11] 然後給你一個量身打造的一個回覆
[00:04:14] 但如果你只是問一問
[00:04:15] 今天天氣好不好
[00:04:17] 或者讓他幫你處理一個email郵件
[00:04:19] 那他就不會碰那個資料夾的
[00:04:21] 那你的掏管也就撐的更久了
[00:04:24] 好到這邊背景設定都搞定了
[00:04:26] 那麼接下來就是讓cork
[00:04:28] 真的幫你跑東西了
[00:04:30] 而且是每天都跑的那種
